t_mean,flux_bgsub
995916537.9513637,1.9571973751358697e-16
995916548.9167858,2.962449091021266e-16
995916556.6829412,2.7500045526595533e-16
995916566.9884614,1.9922343353903415e-16
995916576.5350001,2.8241421308388557e-16
995916585.7728949,3.7724032867769916e-16
995916596.4991177,2.0312587705640893e-16
995916607.7105263,3.9922528081400293e-16
995916617.2366664,3.3099639472072506e-16
995916627.3366667,5.192589987655288e-17
995916636.9825001,2.4306026200592024e-16
995916645.695,1.331659254021793e-16
995916657.3349999,1.8028981354048907e-16
995916666.7329168,2.8598951388346277e-16
995916677.4053125,3.530829542435008e-16
995916698.4995456,3.6674199247953385e-16
995916708.7888889,2.53221326835357e-16
995916716.950238,5.118548400262313e-16
1.622393e-318,-2.707569270188509e-16
